,mouse,treatment,vessel,age,pulse_freq,diam_mean,pressure_d,pressure_s,speed,flux,diam_mean_before_stim,diam_max_after_stim,diam_min_after_stim,power_diam_h1,power_diam_h2,power_diam_h3,power_center_h1,power_center_h2,power_center_h3
0,190520,baseline,pen_art,adult,,,64.50299098076923,,,,,,,,,,,,
1,190520,baseline,sphincter,adult,,,64.69288684615385,64.96927884615386,3.1758661525406646,180.28418502976214,,,,,,,,,
2,190520,baseline,bulb,adult,,,64.65311434615384,64.96927884615386,1.0501317209466152,,,,,,,,,,
3,190520,baseline,cap1,adult,,,64.16001798076921,65.31704680851064,4.113811205496539,,,,,,,,,,
4,190520,baseline,cap2,adult,,,64.54023507692307,,,82.40827082524268,,,,,,,,,
5,190520,baseline,cap3,adult,,,64.80416776923074,,,41.432115158008614,,,,,,,,,
6,190520,baseline,cap4,adult,,,65.16645394230771,,,9.414639365800847,,,,,,,,,
7,190520,baseline,cap5,adult,,,64.93819069230769,,,43.50643896680943,,,,,,,,,
8,190520,hyper,pen_art,adult,,,95.96314179032255,,,,,,,,,,,,
9,190520,hyper,sphincter,adult,,,93.77958342857144,103.68746267741938,4.804604984962409,351.87770370710075,,,,,,,,,
10,190520,hyper,bulb,adult,,,90.87817819642859,103.68746267741938,2.4411755255775334,,,,,,,,,,
11,190520,hyper,cap1,adult,,,88.55503452631577,,,,,,,,,,,,
12,190520,after_hyper,pen_art,adult,,,,,,,,,,,,,,,
13,190520,after_hyper,sphincter,adult,,,,,,,,,,,,,,,
14,190520,after_hyper,bulb,adult,,,,,,,,,,,,,,,
15,190520,after_hyper,cap1,adult,,,,,,,,,,,,,,,
16,190520,after_hyper,cap2,adult,,,,,,,,,,,,,,,
17,190520,after_hyper,cap3,adult,,,,,,,,,,,,,,,
18,190520,after_hyper,cap4,adult,,,,,,,,,,,,,,,
19,190520,after_hyper,cap5,adult,,,,,,,,,,,,,,,
20,190520,after_ablation,pen_art,adult,,,,,,,,,,,,,,,
21,190520,after_ablation,sphincter,adult,,,,,,,,,,,,,,,
22,190520,after_ablation,bulb,adult,,,,,,,,,,,,,,,
23,190520,after_ablation,cap1,adult,,,,,,,,,,,,,,,
24,190520,after_ablation,cap2,adult,,,,,,,,,,,,,,,
25,190520,after_ablation,cap3,adult,,,,,,,,,,,,,,,
26,190520,after_ablation,cap4,adult,,,,,,,,,,,,,,,
27,190520,after_ablation,cap5,adult,,,,,,,,,,,,,,,
28,190520,hyper2,pen_art,adult,,,,,,,,,,,,,,,
29,190520,hyper2,sphincter,adult,,,,,,,,,,,,,,,
30,190520,hyper2,bulb,adult,,,,,,,,,,,,,,,
31,190520,hyper2,cap1,adult,,,,,,,,,,,,,,,
32,200520,baseline,pen_art,adult,5.096763172018784,18.28280055401662,66.484536625,,,,15.051704268464581,17.808,14.946,7565.674673198841,988.854082701489,231.2862195195831,10.304002537528653,11.494295175852171,2.2966844743863724
33,200520,baseline,sphincter,adult,,,66.22185304444444,68.9960538627451,14.512085992441321,313.1437310527874,5.502181367929035,6.513009460863149,4.452,,,,,,
34,200520,baseline,bulb,adult,5.060325719663757,8.441044568245125,66.3883743846154,68.9960538627451,7.762284521588492,,7.020941176470589,7.632,6.042,923.6043931539187,72.27232607195934,14.874463917071887,426.69394580773536,34.279984533865765,13.365080465932206
35,200520,baseline,cap1,adult,5.0735885357881,9.546683195592287,66.76433588235294,66.41480578431371,4.716421205664205,,5.541254215608028,7.949412488018512,5.088,1866.234160352212,260.1710753515801,36.967687758024084,881.252724227954,107.52783906292704,26.04540552933414
36,200520,baseline,cap2,adult,5.071996274314897,3.841413888888889,69.02994257777777,68.4022113137255,3.6919332814380668,227.4793857076771,,,,401.4187508348863,17.312866754792772,14.370843733976935,480.98584329678533,82.9645662989635,31.194957301950236
37,200520,baseline,cap3,adult,,,68.97381582000001,,,45.636425744680935,,,,,,,,,
38,200520,baseline,cap4,adult,5.071882522280203,3.146162921348315,68.28848992307694,,,35.577040091693604,,,,45.48224389255652,3.328114887292225,6.1930922590961694,24.84399652694623,5.723541534124028,1.7852471922061968
39,200520,baseline,cap5,adult,5.08220974744235,4.01536914600551,68.13787688235294,,,10.29713557186546,,,,130.77796506784793,9.233870175721439,0.25352059228730356,7.987718501903162,2.327734799070883,0.6244271600314818
40,200520,hyper,pen_art,adult,,,95.21450275,,,,,,,,,,,,
41,200520,hyper,sphincter,adult,,,,120.11752841269842,29.537233568238616,1115.7466866706118,,,,,,,,,
42,200520,hyper,bulb,adult,,,,120.11752841269842,16.021711036264435,,,,,,,,,,
43,200520,hyper,cap1,adult,,,,,,,,,,,,,,,
44,200520,after_hyper,pen_art,adult,5.397779307339779,17.01079518072289,60.58346101886792,,,,13.364101527048376,14.527,13.134,4221.078401555529,225.17179811653392,,650.4758812981801,106.44775710827004,
45,200520,after_hyper,sphincter,adult,,,60.1797939375,60.32430141509434,14.981926652137535,670.7804840404332,4.021098573325209,4.355609643476391,3.388924543032422,,,,,,
46,200520,after_hyper,bulb,adult,5.370520623323674,6.805776758409786,60.01799369387754,60.32430141509434,9.36185264305791,,6.750392156862747,7.539609643476391,5.97,885.922692616138,75.95598835967714,34.253946227416215,243.5890839214554,47.37628988544024,10.214823739527192
47,200520,after_hyper,cap1,adult,5.352945270411066,8.792009146341464,60.06337912499999,60.85204945833336,4.643033996764294,,6.371624363729842,7.088228366814658,5.684584673856293,451.29804338595045,26.948813319005417,16.5406405364033,1555.1565546608513,209.13499891833214,24.766852119294605
48,200520,after_hyper,cap2,adult,5.389562851809195,3.405469325153374,59.71615706249998,60.31031703703704,2.9448053626888835,181.47654563214996,,,,148.50798163404866,11.932723099899642,3.2823248795379905,1598.9285644237025,277.4015219632968,53.00674636348354
49,200520,after_hyper,cap3,adult,,,59.23326504255321,,,28.837840775991392,,,,,,,,,
50,200520,after_hyper,cap4,adult,,,59.22925676595744,,,19.19460104870132,,,,,,,,,
51,200520,after_hyper,cap5,adult,5.355397544436075,3.641759146341464,59.22925676595744,,,7.12629731612223,,,,253.01559747100126,13.13362176447839,4.178693081643163,15.8933700461733,10.841760943122928,0.9431266956157728
52,200520,after_ablation,pen_art,adult,5.334924355845256,17.51009392265194,55.58596069811318,,,,14.42344842725113,15.323,13.93,5842.317003931976,595.5671841856664,105.48344174657404,1209.6343042754636,230.39026346002746,41.79778798697782
53,200520,after_ablation,sphincter,adult,,,55.852661591836714,55.865813203703695,8.382465087225372,557.3144506854048,5.742048343910541,5.97,5.63833333333333,,,,,,
54,200520,after_ablation,bulb,adult,5.337807385779741,9.417252777777778,55.95964618749999,55.865813203703695,5.534887466983159,,8.765028469012645,8.955,8.358,4338.000790640781,461.72850463535076,37.8181292265493,1121.881520984142,193.15219592741553,25.529523830382317
55,200520,after_ablation,cap1,adult,5.343359434622065,10.61116804407714,56.17789677551019,55.65191167346938,3.33257193761385,,7.107342862139742,7.738609643476391,6.567,3209.407714076741,305.1149919264096,51.14132099738181,1710.9125656370172,247.37198521883508,41.44956033518931
56,200520,after_ablation,cap2,adult,5.361148589130387,3.211436111111111,56.30191520833332,55.55435587037036,3.6928386381232023,229.71208589645,,,,266.5060756655805,26.771885843535895,4.676083399257619,2147.403228243575,387.8940328409089,75.1693042004296
57,200520,after_ablation,cap3,adult,,,56.11241271999998,,,35.811845789247336,,,,,,,,,
58,200520,after_ablation,cap4,adult,,,56.19087160416669,,,14.0533128004315,,,,,,,,,
59,200520,after_ablation,cap5,adult,,,56.46898838775514,,,8.378240066882423,,,,,,,,,
60,200520,hyper2,pen_art,adult,6.676800286915716,19.17525966850829,104.87147731343288,,,,,,,1804.2043733007183,142.57776371048934,,230.98677642001937,15.703277745442252,
61,200520,hyper2,sphincter,adult,,,99.97313139344261,120.82317326984126,24.406340878496252,1065.5767981114393,,,,,,,,,
62,200520,hyper2,bulb,adult,6.786358554822309,11.07599721448468,96.02752190476188,120.82317326984126,14.365250212446497,,,,,948.8500138310698,87.71856160789643,,126.29850223848293,5.889803196479596,
63,200520,hyper2,cap1,adult,6.836274059772986,9.17491135734072,93.26644413793105,,,,,,,232.7028522836337,26.526911395246174,,367.41714575268855,31.623376345275823,
64,260520,baseline,pen_art,adult,,,56.34273841304346,,,,13.589699766605262,15.84,11.28,,,,,,
65,260520,baseline,sphincter,adult,,,56.00334423913045,56.486345722222225,4.916667690454801,327.90274222978314,2.743919717297708,5.04,0.0,,,,,,
66,260520,baseline,bulb,adult,,,56.39085309756098,,,,4.601239853900405,6.655765613175244,0.0,,,,,,
67,260520,baseline,cap1,adult,,,55.91705357777779,,,,6.080927389010309,7.304064290605061,3.0871454827201212,,,,,,
68,260520,baseline,cap2,adult,,,55.94497854347827,,,73.85511592729185,2.6323851839917927,3.6,0.9645738585176753,,,,,,
69,260520,baseline,cap3,adult,,,55.56755519512195,,,56.98820274443263,,,,,,,,,
70,260520,baseline,cap4,adult,,,55.93200010869565,,,13.04354726109937,,,,,,,,,
71,260520,baseline,cap5,adult,,,55.76576860000001,,,4.232435972888429,,,,,,,,,
72,260520,hyper,pen_art,adult,5.115108772552947,8.845759887005649,120.48906615686276,,,,,,,215.28622178039947,0.8764292806895576,0.8937836872323645,212.7679224056285,44.40836887935726,0.9412516172269627
73,260520,hyper,sphincter,adult,,,117.50833278723402,120.99328129166669,8.82148338449957,794.6208221735696,,,,,,,,,
74,260520,hyper,bulb,adult,,,,,,,,,,,,,,,
75,260520,hyper,cap1,adult,,,,,,,,,,,,,,,
76,260520,after_hyper,pen_art,adult,4.830556120868376,11.79614110429448,56.51028787755101,,,,13.063975736810253,14.988378329291361,11.88,1433.6688272993397,257.5978974157348,51.80177204341562,527.5309902000611,78.06414872840482,5.833517641414512
77,260520,after_hyper,sphincter,adult,,,56.67838877272729,56.02988793750003,3.413821791504272,246.82853159368847,2.835470762315888,3.514704757427796,1.4177181867713893,,,,,,
78,260520,after_hyper,bulb,adult,,,56.50068281395351,,,,3.5614414375914785,5.16,1.7420519011549318,,,,,,
79,260520,after_hyper,cap1,adult,4.839619171160008,3.479712121212121,56.583107886363614,,,,4.409858089751429,5.4,1.1654067798417986,206.06798268989155,13.61799696111228,1.044582061662868,2704.39704875813,314.0805126518624,60.68983145396759
80,260520,after_hyper,cap2,adult,4.83960745876744,3.588079754601227,56.696703302325574,,,87.94049126774188,1.8187028984733098,2.88,0.9902804457216767,137.71284031380452,8.84419267507357,1.9062440341719764,6428.914669872584,859.9815540373928,153.4116388698856
81,260520,after_hyper,cap3,adult,,,56.54007709090908,,,53.96412648723402,,,,,,,,,
82,260520,after_hyper,cap4,adult,7.620668224525986,3.891088957055215,56.31223446666667,,,15.046600178723379,,,,79.66893616923865,40.73443789895611,,6.475552406852421,4.58228491626337,
83,260520,after_hyper,cap5,adult,,,56.92711690909091,,,,,,,,,,,,
84,260520,after_ablation,pen_art,adult,5.022476130084129,18.94489502762431,55.35112382000001,,,,17.131940398488126,18.0,16.92,89.96475722758568,28.719220322256504,9.240165742589822,149.67986501937435,19.02195569791307,2.1692701702778288
85,260520,after_ablation,sphincter,adult,,,54.94883536363637,55.21558921999999,2.885600213899616,223.99364579585776,6.045018347243037,6.0,4.6093005153339,,,,,,
86,260520,after_ablation,bulb,adult,,,54.91301548000001,,,,8.843827419324066,9.0,8.64,,,,,,
87,260520,after_ablation,cap1,adult,,,56.76114642222223,,,,8.17092516317493,7.92,5.9293005153339005,,,,,,
88,260520,after_ablation,cap2,adult,5.043547983049587,4.760142458100558,55.03834277777778,,,146.58969378317155,3.2770221290433366,3.8240642906050613,3.1254819993513414,1679.258946947107,163.0893103821192,29.5783343415518,3469.456754185336,528.1868132480638,97.84521490151069
89,260520,after_ablation,cap3,adult,,,54.88104577777777,,,142.3854444859308,,,,,,,,,
90,260520,after_ablation,cap4,adult,,,54.751968933333316,,,84.62942707717384,,,,,,,,,
91,260520,after_ablation,cap5,adult,,,54.87033222222222,,,18.989518617521373,,,,,,,,,
92,260520,hyper2,pen_art,adult,,,,,,,,,,,,,,,
93,260520,hyper2,sphincter,adult,,,,110.16727859701493,12.490267311406537,855.0155327179491,,,,,,,,,
94,260520,hyper2,bulb,adult,,,,,,,,,,,,,,,
95,260520,hyper2,cap1,adult,,,,,,,,,,,,,,,
96,270520,baseline,pen_art,adult,4.808294503379715,10.88399449035813,68.50053487500001,,,,14.322089402267807,16.56,14.76,3101.627261112153,329.68404939563175,88.53020373628448,284.2423507952525,21.227054700653483,4.9167546246338025
97,270520,baseline,sphincter,adult,,,69.59820816326533,66.92556425000002,14.878473111984533,693.765838422091,3.2004003111929853,4.904064290605061,2.8496407077732897,,,,,,
98,270520,baseline,bulb,adult,4.989881617513062,6.952588732394366,70.00121184000004,66.92556425000002,3.4449979151801746,,7.392814409846248,9.295765613175243,6.601984936394087,1167.9160279646535,128.61124887303978,17.87036869332651,390.4040735664369,45.2311136934071,1.0065962380698417
99,270520,baseline,cap1,adult,,,69.59700848979588,,,,5.046033582556234,7.56,3.96,,,,,,
100,270520,baseline,cap2,adult,4.909678054625953,6.31696132596685,69.17260122727274,,,130.77533364137207,,,,228.90823073608766,13.235866429900502,1.2374361057816348,18.031021437386187,2.1509755582689882,0.09410532020443624
101,270520,baseline,cap3,adult,,,69.81730704081633,,,80.50200845910018,,,,,,,,,
102,270520,baseline,cap4,adult,4.920577706158713,6.790249999999999,70.0425857142857,,,84.62511728704663,,,,331.76811694567516,33.54030944297379,3.941670516638473,535.1693341610722,62.67002377146081,11.319552738046376
103,270520,baseline,cap5,adult,4.890724307693219,6.688396121883658,69.47858145454546,,,60.60209087086772,,,,148.4374771963239,3.9099067540461125,1.537843641531962,372.993558193085,54.129611157096235,12.603572524961116
104,270520,hyper,pen_art,adult,,,137.66551160000006,,,,,,,,,,,,
105,270520,hyper,sphincter,adult,,,134.99762463636367,142.95032955555558,25.45307076548938,1329.9277165601561,,,,,,,,,
106,270520,hyper,bulb,adult,5.539862687791827,10.2802435530086,132.9283898,142.95032955555558,9.421493708617236,,,,,2405.8743347244267,164.8399120613739,0.8764260826451628,52.73539915884328,4.707441834157103,0.03144630818287651
107,270520,hyper,cap1,adult,5.664179780882137,8.04513611111111,130.87805877192986,,,,,,,3103.711153301167,270.27927237606457,7.939930615835305,433.7340939536806,34.33643614861554,1.2179791505580806
108,270520,after_hyper,pen_art,adult,5.740037749998564,10.72290634441088,65.93432814035087,,,,13.360013344413048,14.540973548596343,12.825,3275.8996187467355,271.86120621612923,,59.16580272945965,9.750102622226017,
109,270520,after_hyper,sphincter,adult,,,65.6289315294118,67.18348606896554,11.51807420950778,699.6632611390528,4.521839207772193,5.175,3.96286622941368,,,,,,
110,270520,after_hyper,bulb,adult,6.0198742933927,9.50492469879518,67.10789296296295,67.18348606896554,3.3670859301469838,,5.694618036050054,6.075,5.175,1101.4549797508018,91.59112774430486,,152.2795293521312,6.716409175243101,
