mouse,age,treatment,pa,sphincter,bulb,cap1,cap2
70921,old,hyper1,-0.8514956202722311,0.9815646411968446,-0.1648972828477794,-0.5684207436280541,-0.2660851717190983
70921,old,hyper2,-0.9072368209968028,0.8963221055445786,0.7867910932630493,-0.7420996212734006,-0.5917209266738261
200520,adult,hyper1,-0.5797260430903862,-0.6945902378861628,0.4603645072101108,-0.8537997416292417,
200520,adult,hyper2,-0.3734274762967643,0.814904194314172,-0.2911163859396137,-0.5520144362209437,
150720,old,hyper1,-0.8019626811932801,-0.7278050453119163,0.7252719982523503,0.8139789306302575,0.8681932346714912
150720,old,hyper2,0.6905512704548348,0.9353035575274562,0.922014832010176,0.8727228712921131,0.6132634805840737
81020,adult,hyper1,0.4779603716284492,0.7365745902634973,0.7717865077529996,0.5064009395736434,
81020,adult,hyper2,,,,,
190520,adult,hyper1,0.8468011075654588,-0.5324279425276459,-0.3744186226771334,-0.4992359708249247,
190520,adult,hyper2,0.2171713477179631,-0.0500234934785068,0.8775438569982711,0.7706878805694359,
41021,old,hyper1,-0.2478652120804823,0.4072973422828752,0.3407222958782805,0.7837045698208258,0.611466135244737
41021,old,hyper2,-0.7256515275607499,0.8894098200918992,0.9679903293503626,0.932697635613324,0.9003253475770948
51020,adult,hyper1,-0.7631647639755831,0.5618590833418261,0.35503320229529,0.2533590611444578,
51020,adult,hyper2,0.9808692153099908,0.9773601364718678,0.9702076938288416,0.9445276205810854,
310321,old,hyper1,0.8172049905146029,0.4434583573746213,0.7912812010655959,0.604201419651186,0.6151799313376358
310321,old,hyper2,0.0083231733212667,-0.1574581138732429,0.2138467834105473,-0.3392562230046736,-0.3436630001936071
160321,adult,hyper1,0.68273672165657,0.8712414246960652,0.8337889094524665,0.8020539384721175,0.300705240557539
160321,adult,hyper2,-0.6501070884318823,-0.8383435794370401,0.7947627433781047,0.9257484293069774,0.275438772282515
170620,old,hyper1,0.3032135582299211,-0.4581895309717254,0.8626677357444127,0.7787901995305175,0.7526746189000014
170620,old,hyper2,0.8641761248393357,0.7667116832817643,0.9075105717362688,0.8575157511030795,0.7285364220913632
110321,adult,hyper1,-0.4523748405222106,-0.2438550584023903,-0.336590487905055,-0.6387630728328607,-0.4077352816554111
110321,adult,hyper2,0.9170041677729548,0.3401887231615964,0.3986085572537154,-0.5644800502501407,0.0945801102353523
170720,old,hyper1,0.8748780898054435,0.9300154096443664,0.7015859390146036,0.6990669326601993,
170720,old,hyper2,0.3944974143128645,0.1169516298055351,0.8852944022431645,-0.1353246142779831,
20920,old,hyper1,0.3913612846291147,0.3170895933832175,0.4409534252272167,0.2615569260170503,
20920,old,hyper2,0.8797377799342886,0.5005409879832259,0.792681455192728,0.9019162329053448,
260221,adult,hyper1,-0.3139131820474247,0.8359125953975252,0.849412038687556,0.4729215684172837,0.9361459869478792
260221,adult,hyper2,-0.9764616585200944,0.802435533032018,0.3962203911648453,0.9174669872450406,0.9637862769316758
160421,old,hyper1,-0.9635700866848732,-0.7308931783046917,-0.8476463565349762,0.1320380851595712,
160421,old,hyper2,,,,,
300920,adult,hyper1,0.1830916261426294,0.2213943905678145,-0.2036069919881506,-0.7657624476354864,0.1832948337566488
300920,adult,hyper2,0.8441052873252319,0.7867039516504769,0.8981814524323175,0.8885661101146622,0.7545074348399897
270520,adult,hyper1,-0.7868828860959666,0.9240998160639656,0.9685729163837502,0.9242439908999328,
270520,adult,hyper2,0.1836890788885571,0.3439735517057984,0.983106804914531,0.9602201000588452,
260520,adult,hyper1,-0.9889677570781392,0.0796095782318712,0.1908871950064585,0.0709862905188608,0.4909678049859614
260520,adult,hyper2,-0.9760139056367172,,,,0.3951047308737853
11020,adult,hyper1,0.784180870343556,0.9108334963703664,0.9003076757401278,0.8383390779624231,
11020,adult,hyper2,0.8260857894696162,0.922040646835801,-0.5574409195405086,-0.4276616805363362,
180521,adult,hyper1,0.3933485694685775,0.2374770541032058,0.3844141393030076,0.5127325333951516,
180521,adult,hyper2,0.7178404459139565,-0.0054837637716506,-0.6933520004096302,-0.3833757857661003,
180820,old,hyper1,-0.7313228501528252,0.1553756979474167,0.819788759989205,0.9137773692199131,
180820,old,hyper2,0.9212156018934532,0.8974675181331198,0.9380220093356524,0.9665322325501724,
220920,adult,hyper1,-0.3061315498364457,0.3101777557721329,0.5336781877682036,0.5656458736093133,
220920,adult,hyper2,,,,,
310820,old,hyper1,0.0654634646660331,0.1859210569385486,0.6829751927109057,0.1086830921389885,
310820,old,hyper2,0.971029483019662,0.9839610461795838,0.985817624586056,0.864513819090099,
240521,adult,hyper1,-0.6086274541885781,0.4089312587592648,0.3795844133157235,-0.0804398717364946,-0.3321267605877452
240521,adult,hyper2,-0.3467546492000453,0.8663186327553654,0.8519321622353737,-0.6428075660817765,0.940277661951602
280521,adult,hyper1,0.3946739323763109,0.8421490227754811,0.9009554169020836,0.7848963541354251,0.2207447689633884
280521,adult,hyper2,0.9454263830341186,0.7960723405278178,0.3908673293580929,0.777363895813076,0.6650313680118046
210920,adult,hyper1,0.6382201841315784,0.7020900605890295,0.7898209527714489,0.8025659327808473,0.72848358031336
210920,adult,hyper2,,,,,
210521,adult,hyper1,-0.5801960523156822,0.811932884623524,0.5182956162038472,-0.9089090817052644,0.8078069504392477
210521,adult,hyper2,-0.6971153114609989,0.9725164864515654,0.7570257586027425,-0.3957925444520375,0.976626605685175
200820,old,hyper1,-0.2782587667962574,0.8054069733836818,0.8101060290838039,0.8665663611178444,
200820,old,hyper2,0.990120649830931,0.978640705270594,0.934154907149647,0.9086037440307304,
290920,adult,hyper1,0.879980733940514,0.8856969354252636,0.8309710652254112,0.7412984907555723,
290920,adult,hyper2,0.973536119700938,0.8725068452183992,0.9478204069259772,0.8948989098816086,
90321,adult,hyper1,-0.4849772084579337,0.6159413377160156,0.7051573627381691,0.125170092640812,0.0659399567985116
90321,adult,hyper2,-0.9371233967254314,0.9634615571599237,0.8856842362709927,0.7741412422263904,0.4346237275682059
121020,adult,hyper1,-0.9179317529541086,-0.9066035748062634,0.2443801556875979,0.7982597636338116,
121020,adult,hyper2,0.942988550365439,0.7419957941683174,0.945656210186934,0.9034769501709594,
140920,adult,hyper1,0.2623741631423623,0.3147874052568809,0.3721245866062408,0.3807140642984924,
140920,adult,hyper2,,,,,
260820,old,hyper1,0.6377167699688968,0.5430094990620238,0.7917361656904072,0.6962695929026749,0.9098249946719396
260820,old,hyper2,0.9492392820819388,0.9587034557678292,0.8517841441362193,0.957168111610018,0.9768941270024396
