mouse,age,treatment,MAP,PP,HR
11020,Adult,ablation,48.49010008928572,10.969393750000023,5.112988369138403
11020,Adult,after_hyper1,50.055069403846154,12.031980692307684,5.178856799231457
11020,Adult,baseline,60.587775476762864,12.96053385157929,5.155376760598424
11020,Adult,hyper1,96.98750896898794,13.702828712769033,5.800671190002118
11020,Adult,hyper2,92.3684915333082,8.044521398429096,5.777388465719651
20620,Adult,ablation,,,
20620,Adult,after_hyper1,,,
20620,Adult,baseline,52.80129202639426,2.573901789095716,6.133209828830346
20620,Adult,hyper1,,,
20620,Adult,hyper2,,,
20920,Old,ablation,53.80259604819279,15.966484433734948,7.529590383025725
20920,Old,after_hyper1,55.034511723684226,16.426695395438628,7.6763427640570985
20920,Old,baseline,61.036310069685115,15.19539703898833,7.907002734761133
20920,Old,hyper1,123.5355838859676,37.198057361662144,8.019304583588369
20920,Old,hyper2,104.6891753026053,23.175589649219862,7.238893794542293
40520,Adult,ablation,58.32388713846154,8.876612753846175,6.501748320123281
40520,Adult,after_hyper1,,,
40520,Adult,baseline,,,
40520,Adult,hyper1,,,
40520,Adult,hyper2,,,
41021,Old,ablation,51.40109555555556,3.9966240174872425,6.354328876460851
41021,Old,after_hyper1,55.31559543902439,6.746227326106613,8.260695459891554
41021,Old,baseline,54.83457328287948,8.262949956907546,6.875182437019909
41021,Old,hyper1,82.5732327553166,9.392135762335075,8.747716750544564
41021,Old,hyper2,64.7380090981751,6.2508974753312785,8.618627993706015
50520,Old,ablation,38.75330142857142,8.531539873015873,5.368097702104832
50520,Old,after_hyper1,,,
51020,Adult,ablation,47.73645429687498,4.34430831249999,5.353777625492547
51020,Adult,after_hyper1,48.04642119607842,4.342124521176466,5.145667282566046
51020,Adult,baseline,,4.490409852680116,
51020,Adult,hyper1,,3.9991807238009094,
51020,Adult,hyper2,78.77552283094366,3.8756059201844524,6.19081129030339
60520,Adult,ablation,,,
60520,Adult,after_hyper1,,,
60520,Adult,baseline,,,
60520,Adult,hyper1,,,
60520,Adult,hyper2,,,
70321,Adult,baseline,,,
70321,Adult,hyper1,,,
70321,Adult,hyper2,,,
70720,Old,ablation,,,
70720,Old,after_hyper1,37.19293915151515,4.182121954545465,6.644853425104801
70921,Old,ablation,41.27610575384617,9.93155850769233,5.892685137968155
70921,Old,after_hyper1,,,
70921,Old,baseline,46.586765357266714,12.425521141599953,5.225366731606041
70921,Old,hyper1,59.423099184093225,10.568894333180843,8.006183086877902
70921,Old,hyper2,46.891899498901914,6.673675370846765,7.737532979193318
81020,Adult,ablation,81.55344508823529,5.311786352941169,5.7614902331725935
81020,Adult,after_hyper1,88.57532066129033,5.391717661290315,5.669607638461191
90321,Adult,ablation,54.197035771929826,9.568344754385969,5.170800615923998
90321,Adult,after_hyper1,58.31861693023257,11.607289976744205,4.825211753856746
90321,Adult,baseline,58.77214809241249,13.103202645941275,4.559374122771412
90321,Adult,hyper1,95.24899749907846,9.596740521075432,6.052457345396023
